id,Название,Цена,Цена без скидки
184195,"Пряник 365 ДНЕЙ Тульский с вареной сгущенкой, 140г",3499,3499
185995,"Пирожные ФИЛИ-БЕЙКЕР Кольца заварные 5шт, 300г",25999,25999
187512,"Мармеладные дольки 365 ДНЕЙ Ассорти с цитрусовым вкусом, 300г",7999,7999
188747,"Жевательная резинка DIROL White Клубничная поляна, 13,6г",2499,3999
188771,"Жевательная резинка DIROL Арбузная Свежесть, 13,6г",2499,3999
188773,"Жевательная резинка DIROL Ледяная мята, 13,6г",2699,2699
188794,"Жевательная резинка ECLIPSE Ледяная вишня с ароматом вишни и ментола, 13,6г",3999,5999
188796,"Жевательная резинка ECLIPSE Ледяная Свежесть с ароматом ментола и мяты, 13,6г",3999,5999
189021,"Драже SKITTLES Кисломикс в сахарной глазури со вкусом малины, ананаса, мандарина, вишни, яблока, 38г",3999,4999
189026,"Конфеты освежающие RONDO Мята с ароматом мяты, 30г",3999,3999
189042,"Жевательная резинка DIROL Мята, 13,6г",2999,3999
189127,"Жевательная резинка ORBIT Сочный арбуз, 13,6г",4499,4499
189169,"Жевательная резинка ORBIT Белоснежный Классический с ароматом мяты, 13,6г",4499,4499
189172,"Жевательная резинка ORBIT Белоснежный Освежающая мята с ароматом перечной мяты драже, 13,6г",4499,4499
189174,"Жевательная резинка ORBIT Сладкая мята, 13,6г",4499,4499
190022,"Батончик шоколадный MILKY WAY Клубничный коктейль с клубничным суфле, 26г",2499,2999
190026,"Шоколад KINDER Chocolate Country с молочно-злаковой начинкой, 23,5г",6299,6299
200030,"Леденцы ЛЕНТА Мини ассорти, 250г",6499,7999
201737,"Ирис MELLER с шоколадом, 38г",4499,5999
206254,"Галеты ЛЮБЯТОВО Классические, 185г",5499,8499
221000,"Конфеты СЛАВЯНКА Левушка с карамельной начинкой, весовые",9998,9998
221002,"Конфеты СЛАВЯНКА Степ золотой, весовые",12498,12498
247679,"Конфеты жевательные MAMBA, 26,5г",2999,3499
247916,"Жевательная резинка MENTOS со вкусом Тутти Фрутти, без сахара, 54г",19999,19999
257227,"Драже M&M'S Шоколад, 45г",4999,5999
257248,"Драже M&M'S С арахисом, 45г",4499,5999
257252,"Пряники ЯШКИНО Классические, 350г",8999,10999
257253,"Пряники ЯШКИНО Шоколадные, 350г",8999,10999
257254,"Крекер ЯШКИНО Французский с кунжутом, 185г",3999,6499
257256,"Мини-круассаны ЯШКИНО с шоколадным кремом, 180г",8999,10999
257469,"Шоколад молочный RITTER SPORT Кокос, 100г",14999,18999
259107,"Пирожные ФИЛИ-БЕЙКЕР Эклеры заварные, 250г",24999,24999
259844,"Жевательная резинка ECLIPSE Ледяная ягода без сахара, 13,6г",3999,5999
259989,"Жевательная резинка ORBIT Ягодный микс, 13,6г",4499,4499
259994,"Жевательная резинка ORBIT Клубника-банан, 13,6г",4499,4499
260726,"Шоколад темный БАБАЕВСКИЙ с шоколадной начинкой, 50г",5499,5999
263941,"Батончик шоколадный ЯШКИНО Спринт, 50г",2499,2999
265070,"Конфеты 365 ДНЕЙ Сливочный каприз молочные, весовые",5997,5997
266605,"Батончик шоколадный MARS Max с нугой и карамелью, 81г",6499,8499
268466,"Батончик шоколадный SNICKERS с карамелью, арахисом и нугой, 50,5г",4999,5499
270181,"Пирог ЧЕРЕМУШКИ Сдобная Особа Трюфельный пай, 400г",22999,22999
270572,"Шоколад КРАСНЫЙ ОКТЯБРЬ Аленка, 15г",2499,2999
273183,"Конфеты KDV Крокант, весовые",9998,9998
273186,"Конфеты KDV Чио Рио, весовые",9998,9998
274818,"Набор конфет DOVE Promises Ассорти, 118г",26999,36999
283549,"Батончик ZENTIS Марципановая буханка, 100г",16999,19999
284996,"Конфеты FERRERO ROCHER из молочного шоколада с кремовой начинкой, 125г",35999,35999
286098,"Торт ФИЛИ-БЕЙКЕР Новый Киевский, 500г",87999,87999
288327,"Жевательная резинка ORBIT Winterfresh, 13,6г",4499,4499
288328,"Жевательная резинка ORBIT Белоснежный Нежная Мята, 13,6г",4499,4499
289722,"Печенье ORION Choco Boy бисквит с шоколадом, 45г",4999,4999
289723,"Печенье ORION Chocoboy Safary, 42г",5499,5499
